CSV_ROW,STATUS,ANEXO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO,VALORES_ENCONTRADOS_NO_PDF_PARA_CHAVE
75,MATCH_EXATO,ANEXO XVIII,Grande,Médio,10.0,20.0,60.0,
76,MATCH_EXATO,ANEXO XVIII,Excepcional,Médio,10.0,25.0,100.0,
77,MATCH_EXATO,ANEXO XIX,Mínimo,Baixo,8.0,8.0,8.0,
78,MATCH_EXATO,ANEXO XIX,Mínimo,Médio,10.0,10.0,10.0,
79,MATCH_EXATO,ANEXO XIX,Mínimo,Alto,12.0,12.0,20.0,
80,MATCH_EXATO,ANEXO XIX,Mínimo,Baixo,10.0,10.0,16.0,
81,MATCH_EXATO,ANEXO XIX,Pequeno,Médio,10.0,14.0,14.0,
82,MATCH_EXATO,ANEXO XIX,Pequeno,Alto,30.0,30.0,60.0,
83,MATCH_EXATO,ANEXO XIX,Pequeno,Baixo,40.0,40.0,40.0,
84,MATCH_EXATO,ANEXO XIX,Médio,Médio,10.0,30.0,50.0,
85,MATCH_EXATO,ANEXO XIX,Médio,Alto,130.0,130.0,400.0,
86,MATCH_EXATO,ANEXO XIX,Médio,Baixo,125.0,125.0,125.0,
87,MATCH_EXATO,ANEXO XIX,Grande,Médio,10.0,80.0,130.0,
88,MATCH_EXATO,ANEXO XIX,Grande,Alto,380.0,380.0,910.0,
89,MATCH_EXATO,ANEXO XIX,Grande,Baixo,280.0,280.0,280.0,
90,MATCH_EXATO,ANEXO XIX,Excepcional,Médio,10.0,120.0,230.0,
91,MATCH_EXATO,ANEXO XIX,Excepcional,Alto,700.0,700.0,1400.0,
92,MATCH_EXATO,ANEXO XX,Pequeno,Alto,20.0,100.0,150.0,
93,MATCH_EXATO,ANEXO XX,Grande,Alto,20.0,200.0,250.0,
94,MATCH_EXATO,ANEXO XXI,Mínimo,Médio,5.0,5.0,5.0,
95,MATCH_EXATO,ANEXO XXI,Pequeno,Médio,10.0,10.0,10.0,
96,MATCH_EXATO,ANEXO XXI,Médio,Médio,15.0,15.0,15.0,
97,MATCH_EXATO,ANEXO XXI,Grande,Médio,30.0,30.0,30.0,
98,MATCH_EXATO,ANEXO XXI,Excepcional,Médio,50.0,50.0,50.0,
99,MATCH_EXATO,ANEXO XXIII,Mínimo,Alto,30.0,125.0,270.0,
100,MATCH_EXATO,ANEXO XXIII,Pequeno,Alto,50.0,160.0,380.0,
101,MATCH_EXATO,ANEXO XXIII,Médio,Alto,60.0,280.0,620.0,
102,MATCH_EXATO,ANEXO XXIII,Grande,Alto,80.0,400.0,1000.0,
103,MATCH_EXATO,ANEXO XXIII,Excepcional,Alto,125.0,500.0,1500.0,
104,MATCH_EXATO,ANEXO XXIV,Mínimo,Alto,30.0,125.0,125.0,
105,MATCH_EXATO,ANEXO XXIV,Pequeno,Alto,60.0,160.0,160.0,
106,MATCH_EXATO,ANEXO XXIV,Médio,Alto,100.0,280.0,380.0,
107,MATCH_EXATO,ANEXO XXIV,Grande,Alto,150.0,380.0,1100.0,
108,MATCH_EXATO,ANEXO XXIV,Excepcional,Alto,220.0,700.0,1500.0,
109,MATCH_EXATO,ANEXO XXVI,Mínimo,Alto,2.0,2.0,2.0,
110,MATCH_EXATO,ANEXO XXVI,Pequeno,Alto,4.0,4.0,4.0,
111,MATCH_EXATO,ANEXO XXVI,Médio,Alto,6.0,6.0,6.0,
112,MATCH_EXATO,ANEXO XXVI,Grande,Alto,8.0,8.0,8.0,
113,MATCH_EXATO,ANEXO XXVI,Excepcional,Alto,10.0,10.0,10.0,
114,MATCH_EXATO,ANEXO XXVII,Mínimo,Baixo,5.0,5.0,5.0,
115,MATCH_EXATO,ANEXO XXVII,Mínimo,Médio,10.0,10.0,25.0,
116,MATCH_EXATO,ANEXO XXVII,Mínimo,Alto,10.0,15.0,40.0,
117,MATCH_EXATO,ANEXO XXVII,Mínimo,Baixo,8.0,8.0,8.0,
118,MATCH_EXATO,ANEXO XXVII,Pequeno,Médio,10.0,15.0,30.0,
119,MATCH_EXATO,ANEXO XXVII,Pequeno,Alto,10.0,30.0,60.0,
120,MATCH_EXATO,ANEXO XXVII,Pequeno,Baixo,10.0,25.0,25.0,
121,MATCH_EXATO,ANEXO XXVII,Médio,Médio,10.0,25.0,40.0,
122,MATCH_EXATO,ANEXO XXVII,Médio,Alto,10.0,45.0,90.0,
123,MATCH_EXATO,ANEXO XXVII,Médio,Baixo,10.0,35.0,35.0,
124,MATCH_EXATO,ANEXO XXVII,Grande,Médio,10.0,35.0,50.0,
125,MATCH_EXATO,ANEXO XXVII,Grande,Alto,10.0,60.0,120.0,
126,MATCH_EXATO,ANEXO XXVII,Grande,Baixo,10.0,55.0,55.0,
127,MATCH_EXATO,ANEXO XXVII,Excepcional,Médio,10.0,45.0,100.0,
128,MATCH_EXATO,ANEXO XXVII,Excepcional,Alto,10.0,90.0,140.0,
129,MATCH_EXATO,ANEXO XXVIII,-,Alto,100.0,100.0,120.0,
130,MATCH_EXATO,ANEXO XXXI,-,Médio,5.0,5.0,5.0,
131,MATCH_EXATO,ANEXO XXXII,Mínimo,Alto,80.0,125.0,300.0,
132,MATCH_EXATO,ANEXO XXXII,Pequeno,Alto,100.0,160.0,400.0,
133,MATCH_EXATO,ANEXO XXXII,Médio,Alto,120.0,220.0,600.0,
134,MATCH_EXATO,ANEXO XXXII,Grande,Alto,150.0,380.0,700.0,
135,MATCH_EXATO,ANEXO XXXII,Excepcional,Alto,180.0,430.0,1000.0,
136,MATCH_EXATO,ANEXO XXXIII,-,Alto,30.0,100.0,150.0,
137,MATCH_EXATO,ANEXO XXXIV,-,Alto,50.0,150.0,200.0,
138,MATCH_EXATO,ANEXO XXXV,Mínimo,Alto,80.0,125.0,300.0,
139,MATCH_EXATO,ANEXO XXXVII,Mínimo,Alto,15.0,35.0,64.0,
140,MATCH_EXATO,ANEXO XXXVII,Pequeno,Alto,20.0,70.0,80.0,
141,MATCH_EXATO,ANEXO XXXVII,Médio,Alto,30.0,175.0,240.0,
142,MATCH_EXATO,ANEXO XXXVII,Grande,Alto,40.0,210.0,280.0,
143,MATCH_EXATO,ANEXO XXXVII,Excepcional,Alto,50.0,280.0,320.0,
144,MATCH_EXATO,ANEXO XLI,Mínimo,Médio,10.0,40.0,100.0,
145,MATCH_EXATO,ANEXO XLI,Pequeno,Médio,10.0,50.0,130.0,
146,MATCH_EXATO,ANEXO XLI,Médio,Médio,10.0,60.0,160.0,
147,MATCH_EXATO,ANEXO XLI,Grande,Médio,10.0,70.0,190.0,
148,MATCH_EXATO,ANEXO XLI,Excepcional,Médio,10.0,80.0,220.0,
149,MATCH_EXATO,ANEXO XLII,Mínimo,Médio,20.0,40.0,150.0,
150,MATCH_EXATO,ANEXO XLII,Pequeno,Médio,40.0,60.0,200.0,
151,MATCH_EXATO,ANEXO XLII,Médio,Médio,60.0,80.0,300.0,
152,MATCH_EXATO,ANEXO XLII,Grande,Médio,80.0,100.0,400.0,
153,MATCH_EXATO,ANEXO XLII,Excepcional,Médio,100.0,150.0,500.0,
154,MATCH_EXATO,ANEXO XLIII,Médio,Médio,0.0,0.0,0.0,
155,MATCH_EXATO,ANEXO XLIII,Médio,Baixo,0.0,0.0,0.0,
156,MATCH_EXATO,ANEXO XLIII,Médio,Médio,10.0,10.0,20.0,
157,MATCH_EXATO,ANEXO XLIII,Médio,Baixo,30.0,30.0,30.0,
158,MATCH_EXATO,ANEXO XLIII,Médio,Médio,50.0,50.0,50.0,
159,MATCH_EXATO,ANEXO XLIII,Excepcional,Baixo,60.0,60.0,60.0,
160,MATCH_EXATO,ANEXO XLIII,Excepcional,Médio,90.0,90.0,90.0,
161,MATCH_EXATO,ANEXO XLIV,Excepcional,Médio,5.0,30.0,40.0,
162,MATCH_EXATO,ANEXO XLIV,Excepcional,Alto,10.0,40.0,60.0,
