ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO,PAGE_START
ANEXO X,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Pequeno,Alto,40.0,90.0,90.0,27
ANEXO X,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Médio,Alto,50.0,100.0,120.0,27
ANEXO X,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Grande,Alto,60.0,120.0,150.0,27
ANEXO X,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.2 E 5.4 DO ANEXO I",Excepcional,Alto,90.0,150.0,180.0,27
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Mínimo,Alto,25.0,30.0,35.0,27
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Pequeno,Alto,30.0,35.0,40.0,27
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Médio,Alto,35.0,40.0,45.0,27
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Grande,Alto,40.0,50.0,60.0,27
ANEXO XI,"Tabela de valores da TLP, TLI E TLO das atividades e empreendimentos descritos no item 5.3 DO ANEXO I",Excepcional,Alto,50.0,60.0,80.0,27
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Mínimo,Alto,10.0,20.0,40.0,28
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Pequeno,Alto,10.0,25.0,60.0,28
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Médio,Alto,10.0,35.0,100.0,28
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Grande,Alto,10.0,60.0,150.0,28
ANEXO XV,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 14 do ANEXO I",Excepcional,Alto,10.0,90.0,250.0,28
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I.",Mínimo,Alto,10.0,12.0,12.0,29
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I.",Pequeno,Alto,15.0,25.0,40.0,29
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I.",Médio,Alto,20.0,50.0,150.0,29
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 15 do ANEXO I.",Grande,Alto,30.0,100.0,300.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Médio,10.0,45.0,120.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Alto,10.0,80.0,170.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Médio,Baixo,10.0,35.0,100.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Médio,10.0,60.0,180.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Alto,10.0,100.0,230.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Baixo,10.0,55.0,150.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Médio,10.0,100.0,240.0,29
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Alto,10.0,150.0,300.0,29
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Mínimo,Médio,2.0,5.0,8.0,30
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Pequeno,Médio,5.0,7.0,15.0,30
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Médio,Médio,10.0,15.0,40.0,30
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Grande,Médio,10.0,20.0,60.0,30
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Excepcional,Médio,10.0,25.0,100.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Médio,10.0,10.0,10.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Alto,12.0,12.0,20.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Baixo,10.0,10.0,16.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Pequeno,Médio,10.0,14.0,14.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Pequeno,Alto,30.0,30.0,60.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Pequeno,Baixo,40.0,40.0,40.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Médio,Médio,10.0,30.0,50.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Médio,Alto,130.0,130.0,400.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Médio,Baixo,125.0,125.0,125.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Grande,Médio,10.0,80.0,130.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Grande,Alto,380.0,380.0,910.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Grande,Baixo,280.0,280.0,280.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Excepcional,Médio,10.0,120.0,230.0,30
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Excepcional,Alto,700.0,700.0,1400.0,30
ANEXO XX,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITE M 76.1 do ANEXO I",Pequeno,Alto,20.0,100.0,150.0,31
ANEXO XX,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITE M 76.1 do ANEXO I",Grande,Alto,20.0,200.0,250.0,31
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Mínimo,Médio,5.0,5.0,5.0,31
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Pequeno,Médio,10.0,10.0,10.0,31
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Médio,Médio,15.0,15.0,15.0,31
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Grande,Médio,30.0,30.0,30.0,31
ANEXO XXI,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos nos ITENS 76.2 a 76.4 do ANEXO I",Excepcional,Médio,50.0,50.0,50.0,31
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Mínimo,Alto,30.0,125.0,270.0,32
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Pequeno,Alto,50.0,160.0,380.0,32
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Médio,Alto,60.0,280.0,620.0,32
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Grande,Alto,80.0,400.0,1000.0,32
ANEXO XXIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 76.6 e 76.7 do ANEXO I",Excepcional,Alto,125.0,500.0,1500.0,32
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Mínimo,Alto,30.0,125.0,125.0,32
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Pequeno,Alto,60.0,160.0,160.0,32
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Médio,Alto,100.0,280.0,380.0,32
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Grande,Alto,150.0,380.0,1100.0,32
ANEXO XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Excepcional,Alto,220.0,700.0,1500.0,32
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Mínimo,Alto,2.0,2.0,2.0,33
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Pequeno,Alto,4.0,4.0,4.0,33
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Médio,Alto,6.0,6.0,6.0,33
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Grande,Alto,8.0,8.0,8.0,33
ANEXO XXVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos no ITEM N. 76.14 doANEXO I",Excepcional,Alto,10.0,10.0,10.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Médio,10.0,10.0,25.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Alto,10.0,15.0,40.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Mínimo,Baixo,8.0,8.0,8.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Médio,10.0,15.0,30.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Alto,10.0,30.0,60.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Pequeno,Baixo,10.0,25.0,25.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Médio,Médio,10.0,25.0,40.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Médio,Alto,10.0,45.0,90.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Médio,Baixo,10.0,35.0,35.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Médio,10.0,35.0,50.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Alto,10.0,60.0,120.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Grande,Baixo,10.0,55.0,55.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Excepcional,Médio,10.0,45.0,100.0,33
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos ITENS N. 76.15 a 76.19 do ANEXO I",Excepcional,Alto,10.0,90.0,140.0,33
ANEXO XXVIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 77.1 do ANEXO I",-,Alto,100.0,100.0,120.0,34
ANEXO XXXI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 77.17 do ANEXO I",-,Médio,5.0,5.0,5.0,34
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Mínimo,Alto,80.0,125.0,300.0,34
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Pequeno,Alto,100.0,160.0,400.0,34
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Médio,Alto,120.0,220.0,600.0,34
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Grande,Alto,150.0,380.0,700.0,34
ANEXO XXXII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79 do ANEXO I",Excepcional,Alto,180.0,430.0,1000.0,34
ANEXO XXXIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79.1 do ANEXO I POTENCIAL",-,Alto,30.0,100.0,150.0,35
ANEXO XXXIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79.2 do ANEXO I POTENCIAL",-,Alto,50.0,150.0,200.0,35
ANEXO XXXV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 79.3 do ANEXO I",Mínimo,Alto,80.0,125.0,300.0,35
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Mínimo,Alto,15.0,35.0,64.0,36
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Pequeno,Alto,20.0,70.0,80.0,36
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Médio,Alto,30.0,175.0,240.0,36
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Grande,Alto,40.0,210.0,280.0,36
ANEXO XXXVII,"Tabela de valores da TLP, TLI e TL O do empreendimento descrito no ITEM 79.7 do ANEXO I",Excepcional,Alto,50.0,280.0,320.0,36
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Mínimo,Médio,10.0,40.0,100.0,37
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Pequeno,Médio,10.0,50.0,130.0,37
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Médio,Médio,10.0,60.0,160.0,37
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Grande,Médio,10.0,70.0,190.0,37
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Excepcional,Médio,10.0,80.0,220.0,37
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Mínimo,Médio,20.0,40.0,150.0,37
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Pequeno,Médio,40.0,60.0,200.0,37
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Médio,Médio,60.0,80.0,300.0,37
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Grande,Médio,80.0,100.0,400.0,37
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Excepcional,Médio,100.0,150.0,500.0,37
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,10.0,10.0,20.0,38
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Baixo,30.0,30.0,30.0,38
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Médio,Médio,50.0,50.0,50.0,38
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Excepcional,Baixo,60.0,60.0,60.0,38
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 86 do ANEXO I",Excepcional,Médio,90.0,90.0,90.0,38
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 87 do ANEXO I",Excepcional,Alto,10.0,50.0,70.0,38
ANEXO XLV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90 do ANEXO I",Mínimo,Baixo,0.0,0.0,1.0,39
ANEXO XLV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90 do ANEXO I",Mínimo,Médio,0.0,0.0,1.0,39
ANEXO XLV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90 do ANEXO I",Médio,Baixo,0.0,0.0,1.0,39
ANEXO XLV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90 do ANEXO I",Médio,Médio,0.0,0.0,1.0,39
ANEXO XLV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90 do ANEXO I",Excepcional,Baixo,0.0,0.0,1.0,39
ANEXO XLV,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90 do ANEXO I",Excepcional,Médio,0.0,0.0,1.0,39
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Mínimo,Baixo,5.0,8.0,10.0,39
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Pequeno,Baixo,10.0,15.0,30.0,39
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Médio,Baixo,10.0,20.0,50.0,39
ANEXO XLVI,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 90.2 do ANEXO I",Grande,Baixo,10.0,25.0,70.0,39
