anexo,descricao_tabela,porte,potencial_poluidor,tlp_upfs,tli_upfs,tlo_upfs
ANEXO XVI,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos",Grande,Alto,30,100,300
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Médio,Alto,10,40,80
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Médio,10,20,60
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Alto,10,60,120
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Baixo,10,25,50
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Médio,10,45,120
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Pequeno,Alto,10,80,170
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Grande,Baixo,10,35,100
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Grande,Médio,10,60,180
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Grande,Alto,10,100,230
ANEXO  XVII,"Tabela de valores da TLP, TLI e TLO das atividades e em preendim entos descritos no ITEM  18 do ANEXO I",Excepcional,Alto,10,150,300
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Mínimo,Médio,2,5,8
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Pequeno,Médio,5,7,15
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Pequeno,Médio,10,15,40
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Grande,Médio,10,20,60
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Excepcional,Médio,10,25,100
ANEXO XXI,"Tabela de valores da TLP, TLI e  TLO dos empreendimentos descritos nos",Pequeno,Médio,10,10,10
ANEXO XXI,"Tabela de valores da TLP, TLI e  TLO dos empreendimentos descritos nos",Pequeno,Médio,15,15,15
ANEXO XXI,"Tabela de valores da TLP, TLI e  TLO dos empreendimentos descritos nos",Grande,Médio,30,30,30
ANEXO XXI,"Tabela de valores da TLP, TLI e  TLO dos empreendimentos descritos nos",Grande,Médio,50,50,50
ANEXO  XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Mínimo,Alto,30,125,125
ANEXO  XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Pequeno,Alto,60,160,160
ANEXO  XXIV,"Tabela de valores da TLP, TLI e TLO dos empreendimentos descritos no ITEM N. 76.8 do ANEXO I",Grande,Alto,150,380,1100
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Mínimo,Baixo,5,5,5
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Mínimo,Médio,10,10,25
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Mínimo,Alto,10,15,40
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Pequeno,Baixo,8,8,8
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Pequeno,Médio,10,15,30
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Pequeno,Alto,10,30,60
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Pequeno,Médio,10,25,25
ANEXO XXVII,"Tabela de valores da TLP, TLI e TLO do empreendimento descritos nos",Pequeno,Médio,10,25,40
