ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO XL,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no ite m 81.9 do ANEXO I",Grande,Médio,10.0,40.0,100.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Mínimo,Médio,10.0,40.0,100.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Pequeno,Médio,10.0,50.0,130.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Pequeno,Médio,10.0,60.0,160.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Grande,Médio,10.0,70.0,190.0
ANEXO XLI,"Tabela de valores da TLP, TLI eTLO do empreendimento descrito no item 81.10 do ANEXO I",Grande,Médio,10.0,80.0,220.0
ANEXO XLII,"Tabela de valores da TLP, TLI e TLO do empreendimento descrito no ITEM 85 do ANEXO I",Mínimo,Médio,20.0,40.0,150.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO  do em preendim ento descrito no ITEM  86 do ANEXO  I",Pequeno,Baixo,30.0,30.0,30.0
ANEXO XLIII,"Tabela de valores da TLP, TLI e TLO  do em preendim ento descrito no ITEM  86 do ANEXO  I",Excepcional,Baixo,60.0,60.0,60.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Pequeno,Alto,10.0,20.0,40.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Pequeno,Alto,10.0,30.0,50.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Pequeno,Médio,5.0,10.0,20.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Pequeno,Médio,5.0,20.0,30.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Médio,Alto,10.0,10.0,30.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Grande,Alto,10.0,40.0,60.0
ANEXO XLIV,"Tabela de valores da TLP, TLI e TLO do em preendim ento descrito no ITEM 87 do ANEXO I",Grande,Médio,5.0,30.0,40.0
