anexo,descricao_tabela,porte,potencial_poluidor,tlp_ufar,tli_ufar,tlo_ufar,fonte,tlp_upfs,tli_upfs,tlo_upfs
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Pequeno,Alto,34.0,91.0,274.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Pequeno,Médio,46.0,125.0,399.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Grande,Alto,57.0,171.0,513.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Excepcional,Alto,68.0,205.0,627.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Mínimo,Alto,6.0,6.0,12.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Pequeno,Alto,6.0,8.0,14.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Pequeno,Médio,6.0,12.0,17.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Grande,Alto,6.0,17.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Excepcional,Alto,6.0,23.0,28.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Mínimo,Alto,23.0,34.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Pequeno,Alto,34.0,68.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Pequeno,Médio,46.0,103.0,103.0,Ariquemes Lei 2.349/2019 (Anexos),,,
