anexo,descricao_tabela,porte,potencial_poluidor,tlp_ufar,tli_ufar,tlo_ufar,fonte,tlp_upfs,tli_upfs,tlo_upfs
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Pequeno,Médio,6.0,8.0,17.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Pequeno,Médio,11.0,17.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Grande,Médio,11.0,23.0,69.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXVIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM19doANEXOI.",Excepcional,Médio,11.0,29.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Mínimo,Baixo,9.0,9.0,9.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Mínimo,Médio,11.0,11.0,11.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Mínimo,Alto,14.0,14.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Pequeno,Baixo,12.0,12.0,18.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Pequeno,Médio,12.0,16.0,16.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Pequeno,Alto,34.0,34.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Pequeno,Médio,46.0,46.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Pequeno,Médio,11.0,34.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Pequeno,Alto,148.0,148.0,456.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Grande,Baixo,142.0,142.0,142.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Grande,Médio,12.0,91.0,148.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Grande,Alto,433.0,433.0,1037.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Excepcional,Baixo,319.0,319.0,319.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Excepcional,Médio,11.0,137.0,262.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXIX,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS71,72,73e74doANEXOI",Excepcional,Alto,798.0,798.0,1596.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.1doANEXOI",Mínimo,Alto,22.0,57.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.1doANEXOI",Pequeno,Alto,23.0,114.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.1doANEXOI",Pequeno,Médio,23.0,171.0,228.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.1doANEXOI",Grande,Alto,23.0,228.0,285.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.1doANEXOI",Excepcional,Alto,23.0,285.0,342.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXI,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnosITENS76.2a76.4doANEXOI",Mínimo,Médio,6.0,6.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXI,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnosITENS76.2a76.4doANEXOI",Pequeno,Médio,11.0,11.0,11.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXI,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnosITENS76.2a76.4doANEXOI",Pequeno,Médio,17.0,17.0,17.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXI,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnosITENS76.2a76.4doANEXOI",Grande,Médio,34.0,34.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXI,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnosITENS76.2a76.4doANEXOI",Excepcional,Médio,57.0,57.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.5doANEXOI",Mínimo,Médio,57.0,57.0,80.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.5doANEXOI",Pequeno,Médio,80.0,80.0,136.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.5doANEXOI",Pequeno,Médio,114.0,114.0,228.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.5doANEXOI",Grande,Médio,171.0,171.0,319.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM76.5doANEXOI",Excepcional,Médio,228.0,228.0,433.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM76.6e76.7doANEXOI",Mínimo,Alto,34.0,143.0,308.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM76.6e76.7doANEXOI",Pequeno,Alto,57.0,182.0,433.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM76.6e76.7doANEXOI",Pequeno,Médio,68.0,319.0,707.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM76.6e76.7doANEXOI",Grande,Alto,91.0,456.0,1140.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM76.6e76.7doANEXOI",Excepcional,Alto,142.0,570.0,1710.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIV,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnoITEMN.76.8doANEXOI",Pequeno,Alto,68.0,182.0,182.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIV,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnoITEMN.76.8doANEXOI",Pequeno,Médio,114.0,319.0,433.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIV,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnoITEMN.76.8doANEXOI",Grande,Alto,171.0,433.0,1254.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXIV,"TabeladevaloresdaTLP,TLIeTLOdosempreendimentosdescritosnoITEMN.76.8doANEXOI",Excepcional,Alto,251.0,798.0,1711.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Mínimo,Médio,12.0,23.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Mínimo,Alto,12.0,34.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Pequeno,Médio,12.0,34.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Pequeno,Alto,12.0,68.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Pequeno,Médio,12.0,46.0,80.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Pequeno,Alto,12.0,103.0,148.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Grande,Médio,12.0,68.0,102.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Grande,Alto,12.0,137.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Excepcional,Médio,12.0,114.0,137.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens76.9a76.13doANEXOI",Excepcional,Alto,12.0,171.0,205.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnoITEMN.76.14doANEXOI",Mínimo,Alto,2.0,2.0,2.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnoITEMN.76.14doANEXOI",Pequeno,Alto,5.0,5.0,5.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnoITEMN.76.14doANEXOI",Pequeno,Médio,7.0,7.0,7.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnoITEMN.76.14doANEXOI",Grande,Alto,9.0,9.0,9.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnoITEMN.76.14doANEXOI",Excepcional,Alto,11.0,11.0,11.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Mínimo,Baixo,6.0,6.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Mínimo,Médio,11.0,11.0,28.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Mínimo,Alto,12.0,17.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Pequeno,Baixo,9.0,9.0,9.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Pequeno,Médio,12.0,17.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Pequeno,Alto,11.0,34.0,69.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Pequeno,Médio,12.0,28.0,28.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Pequeno,Médio,12.0,28.0,45.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Pequeno,Alto,12.0,51.0,102.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Grande,Baixo,12.0,40.0,40.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Grande,Médio,12.0,40.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Grande,Alto,12.0,68.0,137.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Excepcional,Baixo,12.0,63.0,63.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Excepcional,Médio,12.0,51.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritosnosITENSN.76.15a76.19doANEXOI",Excepcional,Alto,12.0,103.0,160.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79doANEXOI",Mínimo,Alto,91.0,142.0,342.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79doANEXOI",Pequeno,Alto,114.0,182.0,456.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79doANEXOI",Pequeno,Médio,137.0,251.0,684.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79doANEXOI",Grande,Alto,171.0,433.0,798.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79doANEXOI",Excepcional,Alto,205.0,490.0,1140.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79.1doANEXOI",-,Alto,34.0,114.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79.7doANEXO",Mínimo,Alto,17.0,40.0,73.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79.7doANEXO",Pequeno,Alto,23.0,80.0,91.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79.7doANEXO",Pequeno,Médio,34.0,200.0,274.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79.7doANEXO",Grande,Alto,46.0,239.0,319.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXVII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM79.7doANEXO",Excepcional,Alto,57.0,319.0,365.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Mínimo,Médio,11.0,29.0,74.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Mínimo,Alto,11.0,28.0,80.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Pequeno,Médio,11.0,45.0,108.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Pequeno,Alto,17.0,51.0,120.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Pequeno,Médio,11.0,57.0,142.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Pequeno,Alto,40.0,80.0,182.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Grande,Médio,11.0,102.0,228.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Grande,Alto,114.0,182.0,433.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Excepcional,Médio,11.0,119.0,296.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXXXIX,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.7,81.8,81.11,81.12e81.13doANEXOI",Excepcional,Alto,171.0,307.0,707.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXL,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.9doANEXOI",Mínimo,Médio,6.0,6.0,11.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXL,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.9doANEXOI",Pequeno,Médio,6.0,11.0,17.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXL,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.9doANEXOI",Pequeno,Médio,11.0,17.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXL,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.9doANEXOI",Grande,Médio,11.0,34.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXL,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.9doANEXOI",Excepcional,Médio,11.0,46.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Mínimo,Médio,11.0,46.0,114.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Pequeno,Médio,11.0,57.0,148.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Pequeno,Médio,11.0,68.0,182.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Grande,Médio,11.0,80.0,217.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Excepcional,Médio,11.0,91.0,251.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Mínimo,Médio,23.0,46.0,171.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Pequeno,Médio,46.0,68.0,228.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Pequeno,Médio,68.0,91.0,342.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Grande,Médio,91.0,114.0,456.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Excepcional,Médio,114.0,171.0,570.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Mínimo,Baixo,1.0,1.0,1.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Mínimo,Médio,1.0,1.0,1.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Pequeno,Baixo,1.0,1.0,1.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Pequeno,Médio,1.0,1.0,1.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Pequeno,Médio,1.0,1.0,2.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Pequeno,Médio,11.0,11.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Grande,Baixo,34.0,34.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Grande,Médio,57.0,57.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Excepcional,Baixo,68.0,68.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM86doANEXOI",Excepcional,Médio,102.0,102.0,102.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Mínimo,Médio,6.0,6.0,6.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Mínimo,Alto,11.0,11.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Pequeno,Médio,6.0,11.0,23.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Pequeno,Alto,11.0,22.0,46.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Pequeno,Médio,6.0,23.0,34.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Pequeno,Alto,11.0,34.0,57.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Grande,Médio,6.0,34.0,44.0,Ariquemes Lei 2.349/2019 (Anexos),,,
ANEXOXLIV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM87doANEXOI",Grande,Alto,11.0,45.0,68.0,Ariquemes Lei 2.349/2019 (Anexos),,,
