ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Médio,Alto,46,125,399
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Grande,Alto,57,171,513
ANEXOIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITENS2e3doANEXOI(excetoITEM3.9).",Excepcional,Alto,68,205,627
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Mínimo,Alto,34,40,46
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Pequeno,Alto,40,46,51
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Médio,Alto,46,51,57
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Grande,Alto,51,57,63
ANEXOIX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.1DOANEXOI",Excepcional,Alto,68,91,103
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Mínimo,Alto,6,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Pequeno,Alto,6,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Médio,Alto,6,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Grande,Alto,6,,
ANEXOV,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM3.10doANEXOI",Excepcional,Alto,6,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Mínimo,Alto,,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Pequeno,Alto,,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Médio,Alto,,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Grande,Alto,,,
ANEXOVI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4doANEXOI(excetoitens4.1,4.2,4.4e4.7)",Excepcional,Alto,,,
ANEXOVII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem4.1doANEXOI",-,Alto,12,,
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Mínimo,Alto,17,28,28
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Pequeno,Alto,29,57,57
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Médio,Alto,40,80,80
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Grande,Alto,46,91,114
ANEXOVIII,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnositens4.2,4.4,4.7DOANEXOI",Excepcional,Alto,57,114,137
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Mínimo,Alto,34,68,68
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Pequeno,Alto,46,103,103
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Médio,Alto,57,114,137
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Grande,Alto,68,137,171
ANEXOX,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.2E5.4DOANEXOI",Excepcional,Alto,106,171,205
ANEXOXI,"TabeladevaloresdaTLP,TLIETLOdasatividadeseempreendimentosdescritosnoitem5.3DOANEXOI",Mínimo,Alto,28,34,40
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Mínimo,Alto,11,40,51
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Pequeno,Alto,11,57,91
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Médio,Alto,11,137,251
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Grande,Alto,11,228,342
ANEXOXII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnosITEM6.1doANEXOI.",Excepcional,Alto,12,342,456
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Mínimo,Baixo,7,7,14
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Mínimo,Médio,8,8,16
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Mínimo,Alto,9,11,22
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Baixo,7,9,18
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Médio,9,12,23
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Pequeno,Alto,11,15,26
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Médio,Baixo,11,14,23
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Médio,Médio,12,16,34
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Médio,Alto,13,17,38
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Grande,Baixo,13,28,46
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Grande,Médio,14,32,68
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Grande,Alto,15,34,76
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Excepcional,Baixo,15,56,92
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Excepcional,Médio,16,64,136
ANEXOXIII,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnositens6,7,8,10,11,12e13doANEXOI(comexceçãodoitem6.1)",Excepcional,Alto,17,68,152
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Mínimo,Médio,7,7,14
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Mínimo,Alto,7,14,28
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Pequeno,Médio,7,9,16
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Pequeno,Alto,11,28,68
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Médio,Médio,9,9,18
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Médio,Alto,12,40,114
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Grande,Médio,9,12,23
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Grande,Alto,12,68,171
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Excepcional,Médio,11,16,34
ANEXOXIV,"TabeladevaloresdaTLP,TLIeTLOdasatividadeseempreendimentosdescritosnoITEM9doANEXOI",Excepcional,Alto,12,103,285
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Mínimo,Médio,11,46,114
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Pequeno,Médio,11,57,148
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Médio,Médio,11,68,182
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Grande,Médio,11,80,217
ANEXOXLI,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoitem81.10doANEXOI",Excepcional,Médio,11,91,251
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Mínimo,Médio,23,46,171
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Pequeno,Médio,46,68,228
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Médio,Médio,68,91,342
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Grande,Médio,91,114,456
ANEXOXLII,"TabeladevaloresdaTLP,TLIeTLOdoempreendimentodescritonoITEM85doANEXOI.",Excepcional,Médio,114,171,570
