ANEXO,DESCRICAO,PORTE,POTENCIAL_POLUIDOR,TLP,TLI,TLO
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Médio,10.0,100.0,240.0
ANEXO XVII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos no ITEM 18 do ANEXO I",Grande,Alto,10.0,150.0,300.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Mínimo,Médio,2.0,5.0,8.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Pequeno,Médio,5.0,7.0,15.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Médio,Médio,10.0,15.0,40.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Grande,Médio,10.0,20.0,60.0
ANEXO XVIII,"Tabela de valores da TLP, TLI e TLO das atividades e empreendimentos descritos nos ITEM 19 do ANEXO I.",Excepcional,Médio,10.0,25.0,100.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Baixo,8.0,8.0,8.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Médio,10.0,10.0,10.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Alto,12.0,12.0,20.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Mínimo,Baixo,10.0,10.0,16.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Pequeno,Médio,10.0,14.0,14.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Pequeno,Alto,30.0,30.0,60.0
ANEXO XIX,"Tabela de valores da TLP, TLI eTLO das atividades e empreendimentos descritos nos ITENS 71, 72, 73 e 74 do ANEXO I",Pequeno,Baixo,40.0,40.0,40.0
